t(C)	RH(%)	d(g/kga)	h(kJ/kga)
-54	18	0	-54.32
-54	19	0	-54.32
-54	20	0	-54.32
-54	21	0	-54.32
-54	22	0	-54.32
-54	23	0	-54.32
-54	24	0	-54.32
-54	25	0	-54.32
-54	26	0	-54.31
-54	27	0	-54.31
-54	28	0	-54.31
-54	29	0	-54.31
-54	30	0	-54.31
-54	31	0	-54.31
-54	32	0	-54.31
-54	33	0	-54.31
-54	34	0	-54.31
-54	35	0.01	-54.31
-54	36	0.01	-54.31
-54	37	0.01	-54.31
-54	38	0.01	-54.31
-54	39	0.01	-54.31
-54	40	0.01	-54.31
-54	41	0.01	-54.31
-54	42	0.01	-54.31
-54	43	0.01	-54.31
-54	44	0.01	-54.31
-54	45	0.01	-54.31
-54	46	0.01	-54.31
-54	47	0.01	-54.31
-54	48	0.01	-54.31
-54	49	0.01	-54.31
-54	50	0.01	-54.31
-54	51	0.01	-54.31
-54	52	0.01	-54.31
-54	53	0.01	-54.31
-54	54	0.01	-54.31
-54	55	0.01	-54.3
-54	56	0.01	-54.3
-54	57	0.01	-54.3
-54	58	0.01	-54.3
-54	59	0.01	-54.3
-54	60	0.01	-54.3
-54	61	0.01	-54.3
-54	62	0.01	-54.3
-54	63	0.01	-54.3
-54	64	0.01	-54.3
-54	65	0.01	-54.3
-54	66	0.01	-54.3
-54	67	0.01	-54.3
-54	68	0.01	-54.3
-54	69	0.01	-54.3
-54	70	0.01	-54.3
-54	71	0.01	-54.3
-54	72	0.01	-54.3
-54	73	0.01	-54.3
-54	74	0.01	-54.3
-54	75	0.01	-54.3
-54	76	0.01	-54.3
-54	77	0.01	-54.3
-54	78	0.01	-54.3
-54	79	0.01	-54.3
-54	80	0.01	-54.3
-54	81	0.01	-54.3
-54	82	0.01	-54.3
-54	83	0.01	-54.29
-54	84	0.01	-54.29
-54	85	0.01	-54.29
-54	86	0.01	-54.29
-54	87	0.01	-54.29
-54	88	0.01	-54.29
-54	89	0.01	-54.29
-54	90	0.01	-54.29
-54	91	0.01	-54.29
-54	92	0.01	-54.29
-54	93	0.01	-54.29
-54	94	0.01	-54.29
-54	95	0.01	-54.29
-54	96	0.01	-54.29
-54	97	0.01	-54.29
-54	98	0.01	-54.29
-54	99	0.01	-54.29
-54	100	0.01	-54.29
-53	0	0	-53.32
-53	1	0	-53.32
-53	2	0	-53.32
-53	3	0	-53.32
-53	4	0	-53.32
-53	5	0	-53.32
-53	6	0	-53.32
-53	7	0	-53.32
-53	8	0	-53.31
-53	9	0	-53.31
-53	10	0	-53.31
-53	11	0	-53.31
-53	12	0	-53.31
-53	13	0	-53.31
-53	14	0	-53.31
-53	15	0	-53.31
-53	16	0	-53.31
-53	17	0	-53.31
-53	18	0	-53.31
-53	19	0	-53.31
-53	20	0	-53.31
-53	21	0	-53.31
-53	22	0	-53.31
-53	23	0	-53.31
-53	24	0	-53.31
-53	25	0	-53.31
-53	26	0	-53.31
-53	27	0	-53.31
-53	28	0	-53.31
-53	29	0	-53.31
-53	30	0	-53.31
-53	31	0.01	-53.31
-53	32	0.01	-53.31
-53	33	0.01	-53.3
-53	34	0.01	-53.3
-53	35	0.01	-53.3
-53	36	0.01	-53.3
-53	37	0.01	-53.3
-53	38	0.01	-53.3
-53	39	0.01	-53.3
-53	40	0.01	-53.3
-53	41	0.01	-53.3
-53	42	0.01	-53.3
-53	43	0.01	-53.3
-53	44	0.01	-53.3
-53	45	0.01	-53.3
-53	46	0.01	-53.3
-53	47	0.01	-53.3
-53	48	0.01	-53.3
-53	49	0.01	-53.3
-53	50	0.01	-53.3
-53	51	0.01	-53.3
-53	52	0.01	-53.3
-53	53	0.01	-53.3
-53	54	0.01	-53.3
-53	55	0.01	-53.3
-53	56	0.01	-53.3
-53	57	0.01	-53.3
-53	58	0.01	-53.29
-53	59	0.01	-53.29
-53	60	0.01	-53.29
-53	61	0.01	-53.29
-53	62	0.01	-53.29
-53	63	0.01	-53.29
-53	64	0.01	-53.29
-53	65	0.01	-53.29
-53	66	0.01	-53.29
-53	67	0.01	-53.29
-53	68	0.01	-53.29
-53	69	0.01	-53.29
-53	70	0.01	-53.29
-53	71	0.01	-53.29
-53	72	0.01	-53.29
-53	73	0.01	-53.29
-53	74	0.01	-53.29
-53	75	0.01	-53.29
-53	76	0.01	-53.29
-53	77	0.01	-53.29
-53	78	0.01	-53.29
-53	79	0.01	-53.29
-53	80	0.01	-53.29
-53	81	0.01	-53.29
-53	82	0.01	-53.29
-53	83	0.01	-53.28
-53	84	0.01	-53.28
-53	85	0.01	-53.28
-53	86	0.01	-53.28
-53	87	0.01	-53.28
-53	88	0.01	-53.28
-53	89	0.01	-53.28
-53	90	0.01	-53.28
-53	91	0.02	-53.28
-53	92	0.02	-53.28
-53	93	0.02	-53.28
-53	94	0.02	-53.28
-53	95	0.02	-53.28
-53	96	0.02	-53.28
-53	97	0.02	-53.28
-53	98	0.02	-53.28
-53	99	0.02	-53.28
-53	100	0.02	-53.28
-52	0	0	-52.31
-52	1	0	-52.31
-52	2	0	-52.31
-52	3	0	-52.31
-52	4	0	-52.31
-52	5	0	-52.31
-52	6	0	-52.31
-52	7	0	-52.31
-52	8	0	-52.31
-52	9	0	-52.31
-52	10	0	-52.31
-52	11	0	-52.31
-52	12	0	-52.31
-52	13	0	-52.31
-52	14	0	-52.31
-52	15	0	-52.31
-52	16	0	-52.3
-52	17	0	-52.3
-52	18	0	-52.3
-52	19	0	-52.3
-52	20	0	-52.3
-52	21	0	-52.3
-52	22	0	-52.3
-52	23	0	-52.3
-52	24	0	-52.3
-52	25	0	-52.3
-52	26	0	-52.3
-52	27	0.01	-52.3
-52	28	0.01	-52.3
-52	29	0.01	-52.3
-52	30	0.01	-52.3
-52	31	0.01	-52.3
-52	32	0.01	-52.3
-52	33	0.01	-52.3
-52	34	0.01	-52.3
-52	35	0.01	-52.3
-52	36	0.01	-52.3
-52	37	0.01	-52.3
-52	38	0.01	-52.29
-52	39	0.01	-52.29
-52	40	0.01	-52.29
-52	41	0.01	-52.29
-52	42	0.01	-52.29
-52	43	0.01	-52.29
-52	44	0.01	-52.29
-52	45	0.01	-52.29
-52	46	0.01	-52.29
-52	47	0.01	-52.29
-52	48	0.01	-52.29
-52	49	0.01	-52.29
-52	50	0.01	-52.29
-52	51	0.01	-52.29
-52	52	0.01	-52.29
-52	53	0.01	-52.29
-52	54	0.01	-52.29
-52	55	0.01	-52.29
-52	56	0.01	-52.29
-52	57	0.01	-52.29
-52	58	0.01	-52.29
-52	59	0.01	-52.29
-52	60	0.01	-52.28
-52	61	0.01	-52.28
-52	62	0.01	-52.28
-52	63	0.01	-52.28
-52	64	0.01	-52.28
-52	65	0.01	-52.28
-52	66	0.01	-52.28
-52	67	0.01	-52.28
-52	68	0.01	-52.28
-52	69	0.01	-52.28
-52	70	0.01	-52.28
-52	71	0.01	-52.28
-52	72	0.01	-52.28
-52	73	0.01	-52.28
-52	74	0.01	-52.28
-52	75	0.01	-52.28
-52	76	0.01	-52.28
-52	77	0.01	-52.28
-52	78	0.01	-52.28
-52	79	0.01	-52.28
-52	80	0.02	-52.28
-52	81	0.02	-52.28
-52	82	0.02	-52.27
-52	83	0.02	-52.27
-52	84	0.02	-52.27
-52	85	0.02	-52.27
-52	86	0.02	-52.27
-52	87	0.02	-52.27
-52	88	0.02	-52.27
-52	89	0.02	-52.27
-52	90	0.02	-52.27
-52	91	0.02	-52.27
-52	92	0.02	-52.27
-52	93	0.02	-52.27
-52	94	0.02	-52.27
-52	95	0.02	-52.27
-52	96	0.02	-52.27
-52	97	0.02	-52.27
-52	98	0.02	-52.27
-52	99	0.02	-52.27
-52	100	0.02	-52.27
-51	0	0	-51.31
-51	1	0	-51.31
-51	2	0	-51.3
-51	3	0	-51.3
-51	4	0	-51.3
-51	5	0	-51.3
-51	6	0	-51.3
-51	7	0	-51.3
-51	8	0	-51.3
-51	9	0	-51.3
-51	10	0	-51.3
-51	11	0	-51.3
-51	12	0	-51.3
-51	13	0	-51.3
-51	14	0	-51.3
-51	15	0	-51.3
-51	16	0	-51.3
-51	17	0	-51.3
-51	18	0	-51.3
-51	19	0	-51.3
-51	20	0	-51.3
-51	21	0	-51.3
-51	22	0	-51.29
-51	23	0	-51.29
-51	24	0.01	-51.29
-51	25	0.01	-51.29
-51	26	0.01	-51.29
-51	27	0.01	-51.29
-51	28	0.01	-51.29
-51	29	0.01	-51.29
-51	30	0.01	-51.29
-51	31	0.01	-51.29
-51	32	0.01	-51.29
-51	33	0.01	-51.29
-51	34	0.01	-51.29
-51	35	0.01	-51.29
-51	36	0.01	-51.29
-51	37	0.01	-51.29
-51	38	0.01	-51.29
-51	39	0.01	-51.29
-51	40	0.01	-51.29
-51	41	0.01	-51.28
-51	42	0.01	-51.28
-51	43	0.01	-51.28
-51	44	0.01	-51.28
-51	45	0.01	-51.28
-51	46	0.01	-51.28
-51	47	0.01	-51.28
-51	48	0.01	-51.28
-51	49	0.01	-51.28
-51	50	0.01	-51.28
-51	51	0.01	-51.28
-51	52	0.01	-51.28
-51	53	0.01	-51.28
-51	54	0.01	-51.28
-51	55	0.01	-51.28
-51	56	0.01	-51.28
-51	57	0.01	-51.28
-51	58	0.01	-51.28
-51	59	0.01	-51.28
-51	60	0.01	-51.28
-51	61	0.01	-51.27
-51	62	0.01	-51.27
-51	63	0.01	-51.27
-51	64	0.01	-51.27
-51	65	0.01	-51.27
-51	66	0.01	-51.27
-51	67	0.01	-51.27
-51	68	0.01	-51.27
-51	69	0.01	-51.27
-51	70	0.01	-51.27
-51	71	0.02	-51.27
-51	72	0.02	-51.27
-51	73	0.02	-51.27
-51	74	0.02	-51.27
-51	75	0.02	-51.27
-51	76	0.02	-51.27
-51	77	0.02	-51.27
-51	78	0.02	-51.27
-51	79	0.02	-51.27
-51	80	0.02	-51.26
-51	81	0.02	-51.26
-51	82	0.02	-51.26
-51	83	0.02	-51.26
-51	84	0.02	-51.26
-51	85	0.02	-51.26
-51	86	0.02	-51.26
-51	87	0.02	-51.26
-51	88	0.02	-51.26
-51	89	0.02	-51.26
-51	90	0.02	-51.26
-51	91	0.02	-51.26
-51	92	0.02	-51.26
-51	93	0.02	-51.26
-51	94	0.02	-51.26
-51	95	0.02	-51.26
-51	96	0.02	-51.26
-51	97	0.02	-51.26
-51	98	0.02	-51.26
-51	99	0.02	-51.26
-51	100	0.02	-51.25
-50	0	0	-50.3
-50	1	0	-50.3
-50	2	0	-50.3
-50	3	0	-50.3
-50	4	0	-50.3
-50	5	0	-50.3
-50	6	0	-50.3
-50	7	0	-50.3
-50	8	0	-50.3
-50	9	0	-50.29
-50	10	0	-50.29
-50	11	0	-50.29
-50	12	0	-50.29
-50	13	0	-50.29
-50	14	0	-50.29
-50	15	0	-50.29
-50	16	0	-50.29
-50	17	0	-50.29
-50	18	0	-50.29
-50	19	0	-50.29
-50	20	0	-50.29
-50	21	0.01	-50.29
-50	22	0.01	-50.29
-50	23	0.01	-50.29
-50	24	0.01	-50.29
-50	25	0.01	-50.29
-50	26	0.01	-50.28
-50	27	0.01	-50.28
-50	28	0.01	-50.28
-50	29	0.01	-50.28
-50	30	0.01	-50.28
-50	31	0.01	-50.28
-50	32	0.01	-50.28
-50	33	0.01	-50.28
-50	34	0.01	-50.28
-50	35	0.01	-50.28
